blad,sectie,artikelnummer,product,bruto_eur,netto_eur,korting_pct
KAISAI Single split,KAISAI EVO,KEV-09SET,"2,6kW SET WIT",502.2,200.88,60.0
KAISAI Single split,KAISAI EVO,KEV-12SET,"3,4kW SET WIT",527.0,210.8,60.0
KAISAI Single split,KAISAI EVO,KEV-18SET,"5,1kW SET WIT",1047.8,419.12,60.0
KAISAI Single split,KAISAI EVO,KEV-24SET,"7,0kW SET WIT",1373.3,549.32,60.0
KAISAI Single split,KAISAI FLY*,KWX-09SET,"2,6kW SET WIT",589.0,235.6,60.0
KAISAI Single split,KAISAI FLY*,KWX-12SET,"3,5kW SET WIT",635.5,254.2,60.0
KAISAI Single split,KAISAI FLY*,KWX-18SET,"5,2kW SET WIT",1131.5,452.6,60.0
KAISAI Single split,KAISAI FLY*,KWX-24SET,"7,0kW SET WIT",1503.5,601.4,60.0
KAISAI Single split,KAISAI FLY+,KKWX-09SET,"2,7kW SET WIT",613.8,245.52,60.0
KAISAI Single split,KAISAI FLY+,KKWX-12SET,"3,6kW SET WIT",641.7,256.68,60.0
KAISAI Single split,KAISAI FLY+,KKWX-18SET,"5,3kW SET WIT",1202.8,481.12,60.0
KAISAI Single split,KAISAI FLY+,KKWX-24SET,"7,0kW SET WIT",1590.3,636.12,60.0
KAISAI Single split,KAISAI ICE WHITE,KLW-09SET,"2,6kW SET WIT",740.9,296.36,60.0
KAISAI Single split,KAISAI ICE WHITE,KLW-12SET,"3,5kW SET WIT",781.2,312.48,60.0
KAISAI Single split,KAISAI ICE WHITE,KLW-18SET,"5,2kW SET WIT",1205.9,482.36,60.0
KAISAI Single split,KAISAI ICE WHITE,KLW-24SET,"7,0kW SET WIT",1655.4,662.16,60.0
KAISAI Single split,KAISAI ICE BLACK,KLB-09SET,"2,6kW SET ZWART",771.9,308.76,60.0
KAISAI Single split,KAISAI ICE BLACK,KLB-12SET,"3,5kW SET ZWART",809.1,323.64,60.0
KAISAI Single split,KAISAI ICE BLACK,KLB-18SET,"5,2kW SET ZWART",1246.2,498.48,60.0
KAISAI Single split,KAISAI ICE BLACK,KLB-24SET,"7,0kW SET ZWART",1670.9,668.36,60.0
KAISAI Single split,KAISAI PRO-HEAT+ WHITE,KRW-09SET,"2,6kW SET WIT",744.0,297.6,60.0
KAISAI Single split,KAISAI PRO-HEAT+ WHITE,KRW-12SET,"3,5kW SET WIT",806.0,322.4,60.0
KAISAI Single split,KAISAI PRO-HEAT+ WHITE,KRW-18SET,"5,2kW SET WIT",1240.0,496.0,60.0
KAISAI Single split,KAISAI PRO-HEAT+ WHITE,KRW-24SET,"7,0kW SET WIT",1550.0,620.0,60.0
KAISAI Single split,KAISAI PRO-HEAT+ BLACK,KRB-09SET,"2,6kW SET ZWART",837.0,334.8,60.0
KAISAI Single split,KAISAI PRO-HEAT+ BLACK,KRB-12SET,"3,5kW SET ZWART",899.0,359.6,60.0
KAISAI Single split,KAISAI PRO-HEAT+ BLACK,KRB-18SET,"5,2kW SET ZWART",1395.0,558.0,60.0
KAISAI Single split,KAISAI PRO-HEAT+ BLACK,KRB-24SET,"7,0kW SET ZWART",1705.0,682.0,60.0
KAISAI Single split,KAISAI GEO*,KGE-09SET,"2,6kW SET",806.0,322.4,60.0
KAISAI Single split,KAISAI GEO*,KGE-12SET,"3,5kW SET",852.5,341.0,60.0
KAISAI Single split,KAISAI GEO*,KGE-18SET,"5,2kW SET",1271.0,508.4,60.0
KAISAI Single split,KAISAI GEO*,KGE-24SET,"7,0kW SET",1705.0,682.0,60.0
KAISAI Single split,KAISAI GEO+ WHITE,KKWR-09SET,"2,7kW SET WIT",682.0,272.8,60.0
KAISAI Single split,KAISAI GEO+ WHITE,KKWR-12SET,"3,5kW SET WIT",728.5,291.4,60.0
KAISAI Single split,KAISAI GEO+ WHITE,KKWR-18SET,"5,4kW SET WIT",1106.7,442.68,60.0
KAISAI Single split,KAISAI GEO+ WHITE,KKWR-24SET,"7,2kW SET WIT",1540.7,616.28,60.0
KAISAI Single split,KAISAI GEO+ GREY,KKWS-09SET,"2,7kW SET GREY",709.9,283.96,60.0
KAISAI Single split,KAISAI GEO+ GREY,KKWS-12SET,"3,5kW SET GREY",750.2,300.08,60.0
KAISAI Single split,KAISAI GEO+ GREY,KKWS-18SET,"5,4kW SET GREY",1112.9,445.16,60.0
KAISAI Single split,KAISAI GEO+ GREY,KKWR-24SET,"7,2kW SET GREY",1562.4,624.96,60.0
KAISAI Single split,KAISAI NORDIC*,KNP-12SET,"3,5kW SET WIT",1519.0,607.6,60.0
KAISAI Single split,KAISAI ART WHITE,KKWI-09SET,"2,7kW SET WIT",750.2,300.08,60.0
KAISAI Single split,KAISAI ART WHITE,KKWI-12SET,"3,5kW SET WIT",806.0,322.4,60.0
KAISAI Single split,KAISAI ART WHITE,KKWI-18SET,"5,4kW SET WIT",1351.6,540.64,60.0
KAISAI Single split,KAISAI ART WHITE,KKWI-24SET,"7,2kW SET WIT",1627.5,651.0,60.0
KAISAI Single split,KAISAI ART BLACK,KKWF-09SET,"2,7kW SET WIT",790.5,316.2,60.0
KAISAI Single split,KAISAI ART BLACK,KKWF-12SET,"3,5kW SET WIT",849.4,339.76,60.0
KAISAI Single split,KAISAI ART BLACK,KKWF-18SET,"5,4kW SET WIT",1407.4,562.96,60.0
KAISAI Single split,KAISAI ART BLACK,KKWF-24SET,"7,2kW SET WIT",1714.3,685.72,60.0
KAISAI Single split,KAISAI WAND & VLOER*,KFAU-12SET,"3,5kW SET WIT",1426.0,570.4,60.0
KAISAI Single split,KAISAI PLAFOND ONDERBOUW,KUE-18SET,"5,3kW",1658.5,663.4,60.0
KAISAI Single split,KAISAI PLAFOND ONDERBOUW,KUE-24SET,"7,0kW",2166.9,866.76,60.0
KAISAI Single split,KAISAI PLAFOND ONDERBOUW,KUE-36SET,"10,6kW",3220.9,1288.36,60.0
KAISAI Single split,KAISAI PLAFOND ONDERBOUW,KUE-36SET-380V,"10,6kW",3468.9,1387.56,60.0
KAISAI Single split,KAISAI PLAFOND ONDERBOUW,KUE-48SET,"14,1kW",4042.4,1616.96,60.0
KAISAI Single split,KAISAI PLAFOND ONDERBOUW,KUE-55SET,"15,8kW",4191.2,1676.48,60.0
KAISAI Single split,KAISAI SLIM DUCT*,KTI-18HWG32X+KOX330-18HFN32X,"5,3kW",1736.0,694.4,60.0
KAISAI Single split,KAISAI SLIM DUCT*,KTI-24HWG32X+KOX430-24HFN32X,"7,0kW",2272.0,908.8,60.0
