blad,sectie,artikelnummer,product,bruto_eur,netto_eur,korting_pct
MHI Single split,Mitsubishi onderdelen,7140199,MHI WiFi module: SRK | SRR | SRF,187.5,75.0,60.0
MHI Single split,Mitsubishi onderdelen,QP900199,Ecotouch bediening RC-EX3A,222.94,89.176,60.0
MHI Single split,SRK-ZS-WF | Wandunits sets | WIT | incl WiFi,QP950023,Mitsubishi SRC/SRK20ZS-WF - SET,1387.5,555.0,60.0
MHI Single split,SRK-ZS-WF | Wandunits sets | WIT | incl WiFi,QP950000,Mitsubishi SRC/SRK25ZS-WF - SET,1492.28,596.912,60.0
MHI Single split,SRK-ZS-WF | Wandunits sets | WIT | incl WiFi,QP950001,Mitsubishi SRC/SRK35ZS-WF - SET,1695.0,678.0,60.0
MHI Single split,SRK-ZS-WF | Wandunits sets | WIT | incl WiFi,QP950002,Mitsubishi SRC/SRK50ZS-WF - SET,2485.0,994.0,60.0
MHI Single split,SRK-ZS-WF | Wandunits sets | WIT | incl WiFi,QP950024,Mitsubishi SRC/SRK63ZS-WF - SET,3213.0,1285.2,60.0
MHI Single split,SRK-ZS-WF | Wandunits sets | WIT | incl WiFi,QP950003,Mitsubishi SRC/SRK71ZR-WF - SET,3496.5,1398.6,60.0
MHI Single split,SRK-ZS-WF | Wandunits sets | WIT | incl WiFi,QP950025,Mitsubishi SRK 80 ZS-WF BI+BU+WIFI,3861.0,1544.4,60.0
MHI Single split,SRK-ZS-WF | Wandunits sets | WIT | incl WiFi,QP950026,Mitsubishi FDC/SRK100ZR-WF - SET,5886.0,2354.4,60.0
MHI Single split,SRK-ZS-WFT | Wandunits sets | TITANIUM,QP950088,Mitsubishi SRK20ZS-WFT SET,1714.5,685.8,60.0
MHI Single split,SRK-ZS-WFT | Wandunits sets | TITANIUM,QP9500053,Mitsubishi SRK25ZS-WFT SET,1822.58,729.032,60.0
MHI Single split,SRK-ZS-WFT | Wandunits sets | TITANIUM,QP950022,Mitsubishi SRK35ZS-WFT SET,2065.5,826.2,60.0
MHI Single split,SRK-ZS-WFT | Wandunits sets | TITANIUM,QP950085,Mitsubishi SRK50ZS-WFT SET,2943.0,1177.2,60.0
MHI Single split,SRK-ZSX-WF | Wandunits sets | WIT,QP950141,Mitsubishi SRK20ZSX-WF set,2075.0,830.0,60.0
MHI Single split,SRK-ZSX-WF | Wandunits sets | WIT,QP950142,Mitsubishi SRK25ZSX-WF set,2385.0,954.0,60.0
MHI Single split,SRK-ZSX-WF | Wandunits sets | WIT,QP950115,Mitsubishi SRK35ZSX-WF set,2772.8,1109.12,60.0
MHI Single split,SRK-ZSX-WF | Wandunits sets | WIT,QP950140,Mitsubishi SRK50ZSX-WF set,3699.01,1479.604,60.0
MHI Single split,SRK-ZSX-WF | Wandunits sets | WIT,QP950118,Mitsubishi SRK60ZSX-WF set,4763.76,1905.504,60.0
MHI Single split,SRK-ZSX-WFT | Wandunits sets | TITANIUM,QP950089,Mitsubishi SRK20ZSX-WFT set,2443.5,977.4,60.0
MHI Single split,SRK-ZSX-WFT | Wandunits sets | TITANIUM,QP950090,Mitsubishi SRK25ZSX-WFT set,2646.0,1058.4,60.0
MHI Single split,SRK-ZSX-WFT | Wandunits sets | TITANIUM,QP950091,Mitsubishi SRK35ZSX-WFT set,3010.5,1204.2,60.0
MHI Single split,SRK-ZSX-WFT | Wandunits sets | TITANIUM,QP950092,Mitsubishi SRK50ZSX-WFT set,3348.0,1339.2,60.0
MHI Single split,SRK-ZSX-WFT | Wandunits sets | TITANIUM,QP950093,Mitsubishi SRK60ZSX-WFT set,3982.5,1593.0,60.0
MHI Single split,SRK-ZS-BLACK | Wandunits sets | BLACK,QP950211,Mitsubishi SRC/SRK25ZS-B - SET,2904.5,1161.8,60.0
MHI Single split,SRK-ZS-BLACK | Wandunits sets | BLACK,QP950209,Mitsubishi SRC/SRK35ZS-B - SET,3187.1,1274.84,60.0
MHI Single split,SRK-ZS-BLACK | Wandunits sets | BLACK,QP950212,Mitsubishi SRC/SRK50ZS-B - SET,4125.96,1650.384,60.0
MHI Single split,SRK-ZTL-W | Wandunits sets,QP950143,Mitsubishi SRK20ZTL-W set,1688.26,675.304,60.0
MHI Single split,SRK-ZTL-W | Wandunits sets,QP950144,Mitsubishi SRK25ZTL-W set,1792.42,716.968,60.0
MHI Single split,SRK-ZTL-W | Wandunits sets,QP950145,Mitsubishi SRK35ZTL-W set,2040.0,816.0,60.0
MHI Single split,SRK-ZTL-W | Wandunits sets,QP950146,Mitsubishi SRK50ZTL-W set,2750.0,1100.0,60.0
MHI Single split,SRK-ZTL-W | Wandunits sets,QP950147,Mitsubishi SRK63ZTL-W set,3225.0,1290.0,60.0
MHI Single split,SRK-ZTL-W | Wandunits sets,QP950148,Mitsubishi SRK71ZTL-W set,3475.0,1390.0,60.0
MHI Single split,SRF-ZS-W | Vloerunits sets,QP950040,"Mitsubishi Vloer set SRF25ZS-W 2,5kW",2187.0,874.8,60.0
MHI Single split,SRF-ZS-W | Vloerunits sets,QP950041,"Mitsubishi Vloer set SRF35ZS-W 3,5 kW",2457.0,982.8,60.0
MHI Single split,SRF-ZS-W | Vloerunits sets,QP950042,Mitsubishi Vloer set SRF50ZSX-W 5 kW,3199.5,1279.8,60.0
